offer_id_local;page_no;offer_id;psu_power;psu_standard;psu_cert;offer_url;price;brand;rating;model;offer_title;bought;votes
0;1;9217360188;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-bronze-600w-9217360188;238,90;SilentiumPC;4.94;Vero L3 Bronze 600W;;73;
1;1;11674893456;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-gigabyte-p850gm-850-w-11674893456;399,00;Gigabyte;4.86;P850GM;;32;
2;1;11674681077;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-cx650f-650w-80-bronze-atx-rgb-11674681077;309,00;Corsair;5.0;CP-9020217-EU;;8;
3;1;10479138413;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-system-power-9-600w-box-bn247-10479138413;286,00;be quiet!;4.97;System Power 9;;14;
4;1;8541164061;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-silentiumpc-supremo-fm2-gold-750w-8541164061;439,00;SilentiumPC;4.96;Supremo FM2 Gold 750W;;27;
5;1;9217350232;500;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-bronze-500w-9217350232;225,00;SilentiumPC;4.97;Vero L3 Bronze 500W;;8;
6;1;11782892775;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-bronze-600w-11782892775;238,90;SilentiumPC;4.94;Vero L3 Bronze 600W;;7;
7;1;9584582866;500;ATX;Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-system-power-9-500w-80plus-b-9584582866;250,25;be quiet!;4.96;System Power 9 500W;;4;
8;1;11390514988;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-gigabyte-gp-p850gm-850-w-11390514988;411,99;Gigabyte;4.83;GP-P850GM;;9;
9;1;9480177862;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-bronze-600w-9480177862;252,00;SilentiumPC;4.94;SPC266;;5;
10;1;10109895871;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-gigabyte-p850gm-10109895871;439,00;Gigabyte;4.86;P850GM;;8;
11;1;11480623253;700;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-bronze-700w-11480623253;309,99;SilentiumPC;4.94;Vero L3 Bronze 700W;;6;
12;1;11048294801;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-txm-series-850w-80-plus-11048294801;521,60;Corsair;4.97;TXM Series 850W 80 Plus;;2;
13;1;10042144994;650;ATX;Bronze;https://allegro.pl/oferta/cichy-zasilacz-seasonic-s12iii-650-bronze-atx-650w-10042144994;275,00;Seasonic;4.95;SSR-650GB3;;19;
14;1;11480623161;400;ATX;Bronze;https://allegro.pl/oferta/zasilacz-chieftec-eco-gpe-400s-11480623161;209,99;Chieftec;5.0;GPE-400S 400W ATX-12V BOX;;0;
15;1;10797457325;850;ATX;Platinum;https://allegro.pl/oferta/zasilacz-corsair-hx850-850w-platinium-10797457325;829,00;Corsair;4.95;HX850;;3;
16;1;11131764191;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm850x-850w-80plus-gold-atx-2021-11131764191;699,00;Corsair;5.0;RM850x (2021);;8;
17;1;10797439629;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-850w-gold-10797439629;699,00;be quiet!;4.9;Straight Power 11 850W Gold;;2;
18;1;10144560998;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-smart-se2-600w-modular-spr-87-single-10144560998;249,00;Thermaltake;4.75;PS-SPS-0600MNSAWE-1;;3;
19;1;11350415299;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-cx650f-650w-80-bronze-atx-rgb-11350415299;329,00;Corsair;4.92;CX650F;;1;
20;1;11177712686;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm850x-850-w-11177712686;659,00;Corsair;5.0;RM850x;;0;
21;1;10458195190;650;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-650-w-10458195190;499,00;be quiet!;5.0;Straight Power 11;;1;
22;1;11001570478;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-bronze-600-w-11001570478;272,90;SilentiumPC;4.94;Vero L3 Bronze;;2;
23;1;11441547671;1000;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-1000w-1000-w-11441547671;919,00;be quiet!;5.0;Straight Power 11 1000W;;2;
24;1;11367836064;1200;ATX;Platinum;https://allegro.pl/oferta/corsair-hx1200-1200w-80-plus-platinum-11367836064;1;Corsair;5.0;HX1200;;2;
25;1;11132569832;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm750x-750w-80plus-gold-atx-11132569832;599,00;Corsair;4.96;RM750x;;1;
26;1;11078194863;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-komputerowy-silentiumpc-supremo-fm2-750w-11078194863;446,66;SilentiumPC;4.96;Supremo FM2 Gold 750W;;3;
27;1;11480623144;750;ATX;Bronze;https://allegro.pl/oferta/zasilacz-aerocool-pgs-lux-750w-80-bronze-11480623144;273,99;Aerocool;5.0;LUX;;0;
28;1;11140037777;750;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-cx750f-750w-80plus-bronze-atx-rgb-11140037777;469,00;Corsair;5.0;CX750F;;1;
29;1;10216849856;700;ATX;Gold;https://allegro.pl/oferta/solidny-zasilacz-atx-chieftec-700w-4-x-pcie-6-2-10216849856;349,99;Chieftec;4.96;Core;;4;
30;1;10193163966;850;ATX;Gold;https://allegro.pl/oferta/mocny-zasilacz-seasonic-focus-gx-850-gold-850w-10193163966;689,00;Seasonic;4.98;FOCUS-GX-850;;4;
31;1;11480623264;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-thermaltake-smart-bx1-ps-spd-0650nnsabe-1-11480623264;288,99;Thermaltake;;7356;;0;
32;1;11132536877;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm850-850w-80plus-gold-atx-bialy-11132536877;599,00;Corsair;;RM850 (2021);;3;
33;1;11222132716;1000;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm1000x-1000w-80-gold-atx-2021-11222132716;999,00;Corsair;4.55;RM1000x;;1;
34;1;10775622694;550;ATX;Bronze;https://allegro.pl/oferta/zasilacz-asus-tuf-gaming-550w-80-plus-bronze-box-10775622694;359,00;ASUS;4.91;TUF-GAMING-550B;;2;
35;1;11622354776;550;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-series-cx-550w-80-bronze-modular-11622354776;299,00;Corsair;5.0;CX550M 100-240V 550W MODULAR POWER;;1;
36;1;11362279694;1800;ATX;Gold;https://allegro.pl/oferta/zasilacz-lc-power-1800w-85-do-koparek-20x-pci-e-11362279694;1;LC-Power;4.83;LC1800 V2.31;;7;
37;1;11109443381;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm750x-750-w-11109443381;578,68;Corsair;5.0;RM750x;;1;
38;1;11480623121;750;ATX;Platinum;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-platinum-750w-11480623121;677,99;be quiet!;5.0;Straight Power 11;;0;
39;1;11590004112;850;ATX;Platinum;https://allegro.pl/oferta/zasilacz-komputerowy-850w-bequiet-dark-power-pro11-11590004112;999,00;be quiet!;5.0;Dark PowerPro11 850W 80 + 135mm DPP11;;0;
40;1;11571851120;1600;ATX;Titanium;https://allegro.pl/oferta/zasilacz-corsair-ax1600i-1600w-80plus-titanium-atx-11571851120;2;Corsair;5.0;AX1600i;;0;
41;1;10710470044;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-spc268-600-w-10710470044;297,99;SilentiumPC;4.93;SPC268;;3;
42;1;10820532738;750;ATX;Gold;https://allegro.pl/oferta/cichy-zasilacz-seasonic-focus-gx-750-gold-750w-10820532738;559,00;Seasonic;4.96;FOCUS GX-750;;2;
43;1;10494910197;1000;ATX;Gold;https://allegro.pl/oferta/zasilacz-asus-rog-strix-1000w-80plus-gold-10lat-10494910197;1;ASUS;5.0;ROG-STRIX-1000G;;0;
44;1;11716911604;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-cooler-master-v750-gold-v2-white-edition-11716911604;526,79;Cooler Master;;V750 Gold-V2 White Edition;;0;
